hsn_id,hsn_code,description,category_id,subcategory_id,sector_id
52ac56d8-f35f-4614-8da1-5828ba530d54,02062100,TONGUES,5fec3c93-5039-4d13-92d3-249d5124db4f,1c450279-5707-4eaf-b25a-cc450f35f677,51
68ace0ab-46a4-49be-8fdc-af7ba55376e6,02062200,LIVERS,5fec3c93-5039-4d13-92d3-249d5124db4f,1c450279-5707-4eaf-b25a-cc450f35f677,51
07b00169-41e2-448d-9312-1d8564e9e0ac,02062900,OTHER,5fec3c93-5039-4d13-92d3-249d5124db4f,1c450279-5707-4eaf-b25a-cc450f35f677,51
81142d5d-057d-4d39-850f-956417a8d761,02063000,"OF SWINE, FRESH OR CHILLED",5fec3c93-5039-4d13-92d3-249d5124db4f,1c450279-5707-4eaf-b25a-cc450f35f677,51
eb8a82f3-c41d-4dfd-b28c-509375231c5b,02064100,LIVERS,5fec3c93-5039-4d13-92d3-249d5124db4f,1c450279-5707-4eaf-b25a-cc450f35f677,51
7ab98508-c06f-4668-b9ed-26c9d4ffa3b1,02064900,OTHER,5fec3c93-5039-4d13-92d3-249d5124db4f,1c450279-5707-4eaf-b25a-cc450f35f677,51
9e5e2b40-308f-483d-91ee-280d560b76b5,02068010,OF SHEEP OR GOATS,5fec3c93-5039-4d13-92d3-249d5124db4f,1c450279-5707-4eaf-b25a-cc450f35f677,51
1f112ad1-fe1d-441e-ac55-1581382b54df,02068090,OTHER,5fec3c93-5039-4d13-92d3-249d5124db4f,1c450279-5707-4eaf-b25a-cc450f35f677,51
d58272f7-c85e-4e97-a151-524fbe8a5e12,02069010,OF SHEEP OR GOATS,5fec3c93-5039-4d13-92d3-249d5124db4f,1c450279-5707-4eaf-b25a-cc450f35f677,51
9d26dfc9-309f-4249-afce-4207c68d59de,02069090,OTHER,5fec3c93-5039-4d13-92d3-249d5124db4f,1c450279-5707-4eaf-b25a-cc450f35f677,51
4e7dab08-6bdc-40b0-8d80-fc40babe7e8c,02071100,"NOT CUT IN PIECES, FRESH OR CHILLED",5fec3c93-5039-4d13-92d3-249d5124db4f,98c25472-29b5-48de-a7ca-73fbe1b4bb5f,51
e7c2e5b0-d997-448c-a7bf-38356a359f00,02071200,"NOT CUT IN PIECES, FROZEN",5fec3c93-5039-4d13-92d3-249d5124db4f,98c25472-29b5-48de-a7ca-73fbe1b4bb5f,51
10387e1e-2523-4bd6-b98e-df1ebc9230e8,02071300,"CUTS AND OFFAL, FRESH OR CHILLED",5fec3c93-5039-4d13-92d3-249d5124db4f,98c25472-29b5-48de-a7ca-73fbe1b4bb5f,51
e56e7d77-f9c3-4af0-82a6-f90960727da3,02071400,"CUTS AND OFFAL, FROZEN",5fec3c93-5039-4d13-92d3-249d5124db4f,98c25472-29b5-48de-a7ca-73fbe1b4bb5f,51
a3d8fc63-12d1-4b1b-985f-08c453693348,02072400,"NOT CUT IN PIECES, FRESH OR CHILLED",5fec3c93-5039-4d13-92d3-249d5124db4f,98c25472-29b5-48de-a7ca-73fbe1b4bb5f,51
b403fc4c-2840-475d-9719-bf6b2574d906,02072500,"NOT CUT IN PIECES, FROZEN",5fec3c93-5039-4d13-92d3-249d5124db4f,98c25472-29b5-48de-a7ca-73fbe1b4bb5f,51
6735e694-0472-4ca9-9e10-a602f95db576,02072600,"CUTS AND OFFAL, FRESH OR CHILLED",5fec3c93-5039-4d13-92d3-249d5124db4f,98c25472-29b5-48de-a7ca-73fbe1b4bb5f,51
2bc4ee25-9afa-469a-a24f-30da4dd9d118,02072700,"Cuts and offal, frozen",5fec3c93-5039-4d13-92d3-249d5124db4f,98c25472-29b5-48de-a7ca-73fbe1b4bb5f,51
263e511c-1f0f-4b71-b3fb-dc9a530a0f2a,02074100,"NOT CUT IN PIECES, FRESH OR CHILLED",5fec3c93-5039-4d13-92d3-249d5124db4f,98c25472-29b5-48de-a7ca-73fbe1b4bb5f,51
f88b093c-9e6b-4231-8691-faa102dd85fa,02074200,"NOT CUT IN PIECES, FROZEN",5fec3c93-5039-4d13-92d3-249d5124db4f,98c25472-29b5-48de-a7ca-73fbe1b4bb5f,51
a17f9df2-bab3-40f8-91f8-9b72b39b3602,02074300,"FATTY LIVERS, FRESH OR CHILLED",5fec3c93-5039-4d13-92d3-249d5124db4f,98c25472-29b5-48de-a7ca-73fbe1b4bb5f,51
e9fded5f-0b60-47c3-8327-73f2bd099070,02074400,"OTHER, FRESH OR CHILLED",5fec3c93-5039-4d13-92d3-249d5124db4f,98c25472-29b5-48de-a7ca-73fbe1b4bb5f,51
f5eab850-1c18-4872-b060-b88061c00212,02074500,"OTHER, FROZEN",5fec3c93-5039-4d13-92d3-249d5124db4f,98c25472-29b5-48de-a7ca-73fbe1b4bb5f,51
83b9c89a-d7bf-439b-a9b7-71b2850bc79e,02075100,"NOT CUT IN PIECES, FRESH OR CHILLED",5fec3c93-5039-4d13-92d3-249d5124db4f,98c25472-29b5-48de-a7ca-73fbe1b4bb5f,51
feaa56bd-1d92-48cc-8745-51746e122e16,02075200,"NOT CUT IN PIECES, FROZEN",5fec3c93-5039-4d13-92d3-249d5124db4f,98c25472-29b5-48de-a7ca-73fbe1b4bb5f,51
6e9f297d-94e9-45c9-82cd-4676679d666e,02075300,"FATTY LIVERS, FRESH OR CHILLED",5fec3c93-5039-4d13-92d3-249d5124db4f,98c25472-29b5-48de-a7ca-73fbe1b4bb5f,51
44de80c3-9951-4288-831a-c9e1117545ec,02075400,"OTHER, FRESH OR CHILLED",5fec3c93-5039-4d13-92d3-249d5124db4f,98c25472-29b5-48de-a7ca-73fbe1b4bb5f,51
4934f844-0cf7-4e46-8b96-e07accb913bc,02075500,"OTHER, FROZEN",5fec3c93-5039-4d13-92d3-249d5124db4f,98c25472-29b5-48de-a7ca-73fbe1b4bb5f,51
e9908162-4b48-4fcb-bdfa-760c502aa462,02076000,OF GUINEA FOWLS,5fec3c93-5039-4d13-92d3-249d5124db4f,98c25472-29b5-48de-a7ca-73fbe1b4bb5f,51
a5d19587-fd17-4cce-aef6-7955aee388b6,02081000,OF RABBITS OR HARES,5fec3c93-5039-4d13-92d3-249d5124db4f,a4ab54a0-b270-464a-82e1-4b7f7e9f1eb6,51
de134f0d-e3f8-4f1f-911e-09e551573e94,02082000,"OTHER MEAT AND EDIBLE MEAT OFFAL, FRESH, CHILLED OR FROZEN FROGR LEGS",5fec3c93-5039-4d13-92d3-249d5124db4f,a4ab54a0-b270-464a-82e1-4b7f7e9f1eb6,51
19130adc-e294-4425-b039-1f1dc7fedc1a,02083000,OF PRIMATES,5fec3c93-5039-4d13-92d3-249d5124db4f,a4ab54a0-b270-464a-82e1-4b7f7e9f1eb6,51
44746cbe-910d-4315-8d6d-dbc583eabf89,02084000,"OF WHALES, DOLPHINES AND PORPOISES (MAMMALS OF THE ORDER CETACEA), OF MANATEES AND DUGONGS (MAMMALS OF THE ORDER SIRENIA), OF SEALS, SEA LIONS AND WALRUSES (MAMMALS OF THE SUB-ORDER PINNIPEDIA)",5fec3c93-5039-4d13-92d3-249d5124db4f,a4ab54a0-b270-464a-82e1-4b7f7e9f1eb6,51
28ee8ab1-11a1-49da-8d5d-031ea97edf68,02085000,OF REPTILES (INCLUDING SNAKES AND TURTLES),5fec3c93-5039-4d13-92d3-249d5124db4f,a4ab54a0-b270-464a-82e1-4b7f7e9f1eb6,51
914b89b5-87dc-4dae-a3df-66ac59738c19,02086000,OF CAMELS AND OTHER CAMELIDS (CAMELIDAE),5fec3c93-5039-4d13-92d3-249d5124db4f,a4ab54a0-b270-464a-82e1-4b7f7e9f1eb6,51
b21c92f3-c362-46a0-a2f7-9aa6ca70ab0d,02089010,OF WILD ANIMALS,5fec3c93-5039-4d13-92d3-249d5124db4f,a4ab54a0-b270-464a-82e1-4b7f7e9f1eb6,51
d42d0569-25c2-4070-a53d-c391093ae5b4,02089090,OTHER,5fec3c93-5039-4d13-92d3-249d5124db4f,a4ab54a0-b270-464a-82e1-4b7f7e9f1eb6,51
56380874-f51a-4a87-8a2d-cff05108d38d,02091000,OF PIGS,5fec3c93-5039-4d13-92d3-249d5124db4f,364eca11-5507-42ef-98d9-f4c680c9232f,51
71c16580-f380-4a60-8391-c43ca006996e,02099000,OTHER,5fec3c93-5039-4d13-92d3-249d5124db4f,364eca11-5507-42ef-98d9-f4c680c9232f,51
f9d385b3-6b95-4a71-9ce6-85d270b34e3d,02101100,"HAMS, SHOULDERS AND CUTS THEREOF, WITH BONE IN",5fec3c93-5039-4d13-92d3-249d5124db4f,734b66ea-56d7-4f4c-a8c2-1d1fb9c29b19,51
63a907e7-bd31-4ae3-9bc9-3b8f5a2a3305,02101200,BELLIES (STREAKY) AND CUTS THEREOF,5fec3c93-5039-4d13-92d3-249d5124db4f,734b66ea-56d7-4f4c-a8c2-1d1fb9c29b19,51
7d59fc5b-86b3-420c-825d-c1bb15d2e8e8,02101900,OTHER,5fec3c93-5039-4d13-92d3-249d5124db4f,734b66ea-56d7-4f4c-a8c2-1d1fb9c29b19,51
9859bb26-c5a1-4ab8-bb8e-3015303fd433,02102000,MEAT OF BOVINE ANIMALS,5fec3c93-5039-4d13-92d3-249d5124db4f,734b66ea-56d7-4f4c-a8c2-1d1fb9c29b19,51
c9bebb65-9793-4777-b92b-05893dc29725,02109100,OF PRIMATES,5fec3c93-5039-4d13-92d3-249d5124db4f,734b66ea-56d7-4f4c-a8c2-1d1fb9c29b19,51
29f5360a-803a-4f2d-91a7-61d4ce3947b6,02109200,"OF WHALES, DOLPHINS AND PORPOISES (MAMMALS OF THE ORDER CETACEA), OF MANATEES AND DUGONGS (MAMMALS OF THE ORDER SIRENIA), OF SEALS, SEA LIONS AND WALRUSES (MAMMALS OF THE SUB-ORDER PINNIPEDIA)",5fec3c93-5039-4d13-92d3-249d5124db4f,734b66ea-56d7-4f4c-a8c2-1d1fb9c29b19,51
