sac_id,sac_code,description,sac_group_id,sector_id
9d4f84d7-ec2e-439c-b8ad-edb75576b876,997326,"Leasing or rental services concerning textiles, clothing and footwear",13,86
e56b975f-1509-4088-b718-0eaaaab1f353,997327,Leasing or rental services concerning do-it-yourself machinery and equipment,13,86
12036baa-0cbe-48a2-a080-16c0f6d4fc45,997328,"Transfer of the right to use any goods for any purpose (whether or not for a specified period) for cash, deferred payment or other valuable consideration.",13,86
943316ea-c7fc-4985-940d-63911eb15889,997329,Leasing or rental services concerning other goods,13,86
dc4f413e-fb84-45d1-a493-613890998b92,997331,Licensing services for the right to use computer software and databases,13,88
ff1c080a-c01f-4932-8bb3-79e465f74173,997332,"Licensing services for the right to broadcast and show original films, sound recordings, radio and television programme and the like",13,88
7dda8ff3-cf23-4b42-abd8-cd1f5e1dc01d,997333,Licensing services for the right to reproduce original art works,13,88
e924b909-db68-4670-b59b-ccedd2112d0e,997334,"Licensing services for the right to reprint and copy manuscripts, books, journals and periodicals",13,88
3a357181-03d1-4911-94bc-31dee875bf10,997335,Licensing services for the right to use research and development  products,13,88
6c09a42b-2e11-4eb7-8439-dd462a69a81f,997336,Licensing services for the right to use trademarks and franchises,13,88
10630ff8-e14c-41d9-9724-c9f59db8e1e7,997337,Licensing services for the right to use minerals including its exploration and evaluation,13,88
